ville;code_postal;latitude;longitude;department_name;region
ville du pont;25650;46.999873398;6.498147193;doubs;bourgogne-franche-comté
villers grelot;25640;47.361512085;6.235167025;doubs;bourgogne-franche-comté
villars les blamont;25310;47.368383721;6.871414913;doubs;bourgogne-franche-comté
les villedieu;25240;46.713906258;6.26583065;doubs;bourgogne-franche-comté
villers buzon;25170;47.228558434;5.852186748;doubs;bourgogne-franche-comté
villers la combe;25510;47.240809828;6.473842387;doubs;bourgogne-franche-comté
villers sous chalamont;25270;46.901588322;6.045328224;doubs;bourgogne-franche-comté
voujeaucourt;25420;47.473552905;6.782505604;doubs;bourgogne-franche-comté
bouconville vauclair;2860;49.460193485;3.756684634;aisne;hauts-de-france
bouresches;2400;49.067056293;3.316703204;aisne;hauts-de-france
brissy hamegicourt;2240;49.742857871;3.399923608;aisne;hauts-de-france
brumetz;2810;49.110351585;3.153350725;aisne;hauts-de-france
brunehamel;2360;49.771382057;4.186261479;aisne;hauts-de-france
bucy le long;2880;49.387973822;3.398519722;aisne;hauts-de-france
caillouel crepigny;2300;49.617755672;3.121707969;aisne;hauts-de-france
camelin;2300;49.52049848;3.127624347;aisne;hauts-de-france
cerny en laonnois;2860;49.450196586;3.679121433;aisne;hauts-de-france
chambry;2000;49.598625529;3.671806573;aisne;hauts-de-france
chaourse;2340;49.70058224;3.985961293;aisne;hauts-de-france
charmes;2800;49.650915124;3.384799677;aisne;hauts-de-france
chaudun;2200;49.315257363;3.252722944;aisne;hauts-de-france
chauny;2300;49.619538899;3.219139283;aisne;hauts-de-france
chezy en orxois;2810;49.126870891;3.168015889;aisne;hauts-de-france
chivy les etouvelles;2000;49.532848303;3.585053697;aisne;hauts-de-france
ciry salsogne;2220;49.367262408;3.467612315;aisne;hauts-de-france
clastres;2440;49.749158544;3.230539083;aisne;hauts-de-france
montchalons;2860;49.513778836;3.727459479;aisne;hauts-de-france
monthenault;2860;49.489769799;3.655508134;aisne;hauts-de-france
montigny l allier;2810;49.122370638;3.107996308;aisne;hauts-de-france
montigny lengrain;2290;49.372578828;3.099063795;aisne;hauts-de-france
mont notre dame;2220;49.292397628;3.582216807;aisne;hauts-de-france
mont st jean;2360;49.792702607;4.210227315;aisne;hauts-de-france
muret et crouttes;2210;49.278626123;3.434628893;aisne;hauts-de-france
nesles la montagne;2400;48.999750332;3.44605178;aisne;hauts-de-france
neufchatel sur aisne;2190;49.436580849;4.024031385;aisne;hauts-de-france
le nouvion en thierache;2170;50.008566787;3.809358313;aisne;hauts-de-france
ognes;2300;49.614542455;3.191108052;aisne;hauts-de-france
orainville;2190;49.375881407;4.016154951;aisne;hauts-de-france
osly courtil;2290;49.399369702;3.237910386;aisne;hauts-de-france
pancy courtecon;2860;49.46035579;3.649818372;aisne;hauts-de-france
papleux;2260;50.017614944;3.880061553;aisne;hauts-de-france
parcy et tigny;2210;49.270195121;3.329041936;aisne;hauts-de-france
parfondru;2840;49.538438581;3.703323738;aisne;hauts-de-france
pargny la dhuys;2330;48.954292173;3.563228277;aisne;hauts-de-france
pargny les bois;2270;49.73198721;3.617572589;aisne;hauts-de-france
parpeville;2240;49.794619132;3.564481061;aisne;hauts-de-france
viffort;2540;48.957893106;3.469516322;aisne;hauts-de-france
villeneuve sur fere;2130;49.170863583;3.4754559240000003;aisne;hauts-de-france
villers st christophe;2590;49.779716306;3.09133152;aisne;hauts-de-france
wimy;2500;49.948014627;3.997490476;aisne;hauts-de-france
st firmin;5800;44.793514305;6.025693765;hautes-alpes;provence-alpes-côte d'azur
bosmont sur serre;2250;49.739164547;3.866951038;aisne;hauts-de-france
bouffignereux;2160;49.378528828;3.846143285;aisne;hauts-de-france
bourguignon sous coucy;2300;49.543351686;3.154672717;aisne;hauts-de-france
brancourt en laonnois;2320;49.516508164;3.412722641;aisne;hauts-de-france
braye en laonnois;2000;49.437398745;3.609863828;aisne;hauts-de-france
brenelle;2220;49.368284047;3.54436136;aisne;hauts-de-france
brie;2870;49.597375488;3.473167317;aisne;hauts-de-france
bruyeres et montberault;2860;49.524775786;3.669533869;aisne;hauts-de-france
camelin;2300;49.52049848;3.127624347;aisne;hauts-de-france
castres;2680;49.800742628;3.253372217;aisne;hauts-de-france
chaillevois;2000;49.508011773;3.522228189;aisne;hauts-de-france
albon d ardeche;7190;44.814986241;4.42533053;ardèche;auvergne-rhône-alpes
chassemy;2370;49.377956997;3.5022180460000003;aisne;hauts-de-france
chateau thierry;2400;49.056425662;3.381541175;aisne;hauts-de-france
annonay;7100;45.24633989;4.651027131;ardèche;auvergne-rhône-alpes
chatillon les sons;2270;49.761912822;3.702869899;aisne;hauts-de-france
chatillon sur oise;2240;49.793931936;3.416909399;aisne;hauts-de-france
chery chartreuve;2220;49.255681433;3.604732022;aisne;hauts-de-france
les assions;7140;44.425050124;4.184546969;ardèche;auvergne-rhône-alpes
chery les pouilly;2000;49.648935895;3.593859599;aisne;hauts-de-france
beauvene;7190;44.869254781;4.511902169;ardèche;auvergne-rhône-alpes
chigny;2120;49.930254202;3.776579181;aisne;hauts-de-france
cilly;2250;49.749214967;3.840427798;aisne;hauts-de-france
bessas;7150;44.337648804;4.298027723;ardèche;auvergne-rhône-alpes
boulieu les annonay;7100;45.267247358;4.64531343;ardèche;auvergne-rhône-alpes
freyssenet;7000;44.688564128;4.546249145;ardèche;auvergne-rhône-alpes
gravieres;7140;44.421176818;4.071956856;ardèche;auvergne-rhône-alpes
laurac en vivarais;7110;44.503712977;4.288051747;ardèche;auvergne-rhône-alpes
malarce sur la thines;7140;44.47842111;4.050331709;ardèche;auvergne-rhône-alpes
marcols les eaux;7190;44.805857591;4.389352756;ardèche;auvergne-rhône-alpes
montreal;7110;44.518242755;4.294294724;ardèche;auvergne-rhône-alpes
belsentes;7160;44.915172091;4.501873879;ardèche;auvergne-rhône-alpes
prunet;7110;44.595386971;4.254443305;ardèche;auvergne-rhône-alpes
rocher;7110;44.580743053;4.279673268;ardèche;auvergne-rhône-alpes
st alban auriolles;7120;44.434362261;4.294617257;ardèche;auvergne-rhône-alpes
st alban auriolles;7120;44.434362261;4.294617257;ardèche;auvergne-rhône-alpes
st etienne de serre;7190;44.801469013;4.523351508;ardèche;auvergne-rhône-alpes
st genest lachamp;7190;44.844258846;4.424403779;ardèche;auvergne-rhône-alpes
st maurice en chalencon;7190;44.854713177;4.582378545;ardèche;auvergne-rhône-alpes
st peray;7130;44.940900268;4.824380067;ardèche;auvergne-rhône-alpes
st romain de lerps;7130;44.976021002;4.796591138;ardèche;auvergne-rhône-alpes
sampzon;7120;44.412648109;4.331865524;ardèche;auvergne-rhône-alpes
sanilhac;7110;44.532932661;4.231771763;ardèche;auvergne-rhône-alpes
soyons;7130;44.891795842;4.851099731;ardèche;auvergne-rhône-alpes
montbrehain;2110;49.964774581;3.356345656;aisne;hauts-de-france
montescourt lizerolles;2440;49.735843297;3.261878148;aisne;hauts-de-france
vallon pont d arc;7150;44.400362094;4.405442855;ardèche;auvergne-rhône-alpes
montigny les conde;2330;48.983232726;3.566517221;aisne;hauts-de-france
les vans;7140;44.392227568;4.114704212;ardèche;auvergne-rhône-alpes
montigny sous marle;2250;49.741394451;3.804042798;aisne;hauts-de-france
montloue;2340;49.667813906;4.062955359;aisne;hauts-de-france
mont st pere;2400;49.081931195;3.476999705;aisne;hauts-de-france
villeneuve de berg;7170;44.549110618;4.503596816;ardèche;auvergne-rhône-alpes
mortefontaine;2600;49.336522127;3.081227765;aisne;hauts-de-france
nampteuil sous muret;2200;49.305284958;3.433858092;aisne;hauts-de-france
neuflieux;2300;49.617084777;3.159479468;aisne;hauts-de-france
